3000, 382, 3000, 659
3419, 73, 3659, 165
3492, 7, 3824, 150
3500, 20, 3974, 108
3520, 46, 4082, 130
3567, 42, 4212, 104
3610, 26, 4316, 124
3636, 71, 4440, 116
3707, -2, 4556, 101
3705, 6, 4657, 116
3713, 37, 4773, 81
3751, 28, 4854, 120
3779, 48, 4974, 83
3827, 43, 5057, 80
3873, 23, 5137, 77
3897, 44, 5214, 101
3943, 16, 5315, 75
3959, 24, 5390, 58
3984, 17, 5448, 60
4004, 41, 5508, 90
4048, 41, 5598, 52
4092, 40, 5650, 44
4133, 29, 5694, 25
4167, 39, 5719, 65
4208, 46, 5784, 77
4254, 31, 5861, 35
4288, 6, 5896, 45
4297, -8, 5941, 47
4292, 1, 5988, 37
4296, -31, 6025, 29
4269, 37, 6054, 56
4308, 40, 6110, 51
4352, 13, 6161, 66
4371, -13, 6227, 52
4360, 37, 6279, 54
4400, 28, 6333, 83
4429, 18, 6416, 61
4449, 33, 6477, 65
4485, 20, 6542, 84
4506, 23, 6626, 86
4531, 13, 6712, 77
4544, 23, 6789, 61
4569, 31, 6850, 52
4602, 23, 6902, 51
4628, 41, 6953, 48
4672, 44, 7001, 55
4720, 55, 7056, 57
4778, 60, 7113, 71
4839, 29, 7184, 22
4872, -1, 7206, 76
4873, 28, 7282, 18
4904, 39, 7300, -10
4945, 51, 7290, 28
5003, 23, 7318, 78
5032, 9, 7396, 10
5046, 38, 7406, 27
5088, 28, 7433, 19
5118, 50, 7452, 56
5171, -38, 7508, 1
5138, 51, 7509, 24
5192, 31, 7533, 25
5226, -11, 7558, 33
5222, 4, 7591, 30
5228, 29, 7621, 37
5259, 27, 7658, 14
5292, 6, 7672, 16
5301, 18, 7688, -15
5322, 52, 7673, -24
5377, 33, 7649, 19
5414, 10, 7668, -24
5431, 26, 7644, -21
5464, 50, 7623, 62
5516, 5, 7685, -24
5528, 17, 7661, 15
5551, -15, 7676, 39
5545, 22, 7715, 25
5572, -6, 7740, 60
5566, -18, 7800, 29
5553, -15, 7829, 17
5542, -6, 7846, 19
5542, 45, 7865, -2
5592, -13, 7863, -2
5589, 34, 7861, 30
5627, -16, 7891, 10
5614, -27, 7901, 3
5590, -37, 7904, 46
5562, -55, 7950, 44
5510, -43, 7994, 57
5477, -73, 8051, 22
5413, -25, 8073, 8
5391, 14, 8081, 49
5405, -2, 8130, 19
5407, -64, 8149, 44
5349, -36, 8193, 23
5319, -65, 8216, 28
5263, -44, 8244, 41
5226, -43, 8285, -18
5187, -64, 8267, 16
5129, 15, 8283, 11
5148, -10, 8294, -31
5141, -42, 8263, 15
5104, -63, 8278, -43
5046, -61, 8235, 15
4988, -80, 8250, -7
4917, -31, 8243, -61
4893, -50, 8182, -29
4849, -57, 8153, 11
4800, -24, 8164, 11
4782, -24, 8175, -49
4765, -98, 8126, -3
4671, -26, 8123, 24
4649, -49, 8147, -14
4608, -98, 8133, -31
4515, -45, 8102, -8
4474, -63, 8094, -42
4417, -45, 8052, -28
4377, -55, 8024, 20
4330, -69, 8044, -11
4265, -59, 8033, -22
4210, -81, 8011, -35
4135, -90, 7976, -9
4048, -60, 7967, -3
3995, -79, 7964, -13
3928, -85, 7951, -22
3852, -102, 7929, 27
3752, -43, 7956, -5
3712, -39, 7951, -21
3679, -84, 7930, -4
3604, -48, 7926, -34
3560, -77, 7892, 5
3491, -109, 7897, -29
3385, -76, 7868, -11
3313, -52, 7857, -18
3265, -72, 7839, -47
3195, -99, 7792, -28
3100, -63, 7764, -25
3040, -49, 7739, -33
2994, -85, 7706, -52
2913, -49, 7654, -66
2865, -69, 7588, -34
2804, -52, 7554, -47
2756, -46, 7507, -22
2714, -82, 7485, -27
2633, -51, 7458, -35
2586, -48, 7423, -57
2540, -61, 7366, -67
2482, -44, 7299, -41
2441, -20, 7258, -40
2423, -67, 7218, -77
2359, -70, 7141, -53
2292, -36, 7088, -55
2260, -58, 7033, -52
2208, -48, 6981, -55
2164, -49, 6926, -46
