3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000
3298, 3270, 3234, 3275, 3327, 3257, 3265, 3291, 3210
3369, 3332, 3249, 3312, 3384, 3328, 3291, 3323, 3245
3412, 3332, 3231, 3354, 3386, 3345, 3291, 3307, 3192
3428, 3357, 3276, 3350, 3321, 3346, 3260, 3218, 3117
3456, 3407, 3343, 3335, 3285, 3375, 3195, 3164, 3046
3492, 3468, 3392, 3322, 3244, 3378, 3132, 3074, 2979
3526, 3564, 3421, 3316, 3180, 3396, 3080, 3007, 2946
3583, 3598, 3472, 3277, 3154, 3375, 2966, 2923, 2904
3616, 3690, 3489, 3227, 3125, 3325, 2858, 2829, 2818
3650, 3740, 3528, 3188, 3048, 3311, 2789, 2736, 2736
3633, 3783, 3531, 3125, 2986, 3256, 2692, 2658, 2673
3642, 3820, 3564, 3075, 2893, 3168, 2603, 2553, 2616
3612, 3846, 3605, 3014, 2819, 3106, 2479, 2471, 2572
3617, 3814, 3590, 2975, 2721, 3032, 2363, 2393, 2527
3557, 3753, 3588, 2897, 2651, 2950, 2235, 2309, 2482
3494, 3686, 3594, 2770, 2591, 2883, 2106, 2216, 2410
3487, 3621, 3573, 2690, 2530, 2810, 2038, 2096, 2330
3403, 3588, 3561, 2594, 2427, 2707, 1937, 1996, 2260
3215, 3525, 3517, 2496, 2319, 2615, 1849, 1888, 2160
3129, 3469, 3434, 2391, 2229, 2521, 1755, 1795, 2060
2989, 3382, 3391, 2281, 2122, 2420, 1648, 1686, 1979
2863, 3324, 3278, 2191, 2035, 2315, 1572, 1580, 1895
2769, 3164, 3201, 2114, 1948, 2237, 1490, 1513, 1807
2656, 3017, 3064, 2045, 1852, 2155, 1414, 1425, 1737
2550, 2907, 2997, 1921, 1774, 2072, 1348, 1368, 1656
2450, 2800, 2896, 1837, 1690, 1996, 1292, 1302, 1562
2313, 2693, 2785, 1744, 1612, 1917, 1207, 1218, 1508
2168, 2616, 2654, 1667, 1552, 1784, 1139, 1148, 1448
2024, 2508, 2602, 1585, 1482, 1688, 1090, 1071, 1388
1945, 2376, 2507, 1511, 1411, 1600, 1042, 1027, 1351
1819, 2229, 2410, 1432, 1344, 1525, 985, 971, 1290
1745, 2143, 2284, 1375, 1281, 1427, 1242, 1221, 1230
1655, 2073, 2160, 1335, 1221, 1339, 1206, 1175, 1178
1557, 1958, 2073, 1281, 1184, 1260, 1174, 1128, 1131
1476, 1832, 1937, 1227, 1140, 1198, 1150, 1075, 1096
1404, 1707, 1817, 1197, 1092, 1127, 1095, 1015, 1052
1309, 1611, 1720, 1144, 1040, 1046, 1043, 968, 1013
1236, 1540, 1627, 1103, 987, 1010, 997, 1132, 959
1189, 1423, 1549, 1070, 1276, 972, 1172, 1081, 1189
1132, 1309, 1480, 1014, 1258, 1276, 1144, 1028, 1174
1090, 1239, 1389, 1011, 1222, 1254, 1110, 986, 1137
1030, 1181, 1344, 987, 1179, 1206, 1049, 1082, 1108
974, 1083, 1264, 1271, 1127, 1144, 991, 1059, 1070
1596, 1021, 1184, 1281, 1073, 1113, 1091, 998, 1035
1603, 959, 1107, 1267, 1013, 1038, 1044, 1069, 991
1520, 1514, 1031, 1234, 979, 971, 1020, 1030, 1127
1418, 1469, 960, 1200, 1250, 1211, 980, 960, 1089
1378, 1374, 1520, 1158, 1233, 1172, 1076, 998, 1033
1295, 1287, 1517, 1109, 1206, 1114, 1029, 958, 990
1221, 1203, 1403, 1053, 1185, 1047, 952, 916, 1087
