202, 165, 129, 191, 238, 158, 174, 200, 104
71, 60, 14, 36, 53, 70, 24, 30, 35
41, 0, -19, 39, 1, 16, -1, -20, -54
8, 21, 42, -9, -69, -1, -32, -91, -78
21, 48, 63, -19, -39, 27, -67, -56, -73
30, 57, 45, -16, -43, -4, -63, -96, -70
28, 93, 26, -13, -69, 18, -54, -69, -36
48, 27, 41, -41, -29, -24, -119, -86, -43
16, 81, 7, -53, -31, -53, -111, -98, -87
25, 41, 32, -40, -82, -19, -71, -94, -87
-33, 30, -11, -68, -65, -60, -99, -80, -65
-12, 25, 17, -56, -96, -91, -91, -107, -58
-50, 12, 30, -64, -79, -65, -125, -84, -45
-17, -52, -38, -46, -103, -79, -118, -80, -47
-84, -77, -18, -85, -75, -90, -135, -85, -48
-85, -87, -14, -133, -65, -68, -130, -101, -74
-26, -86, -39, -86, -65, -79, -70, -120, -82
-100, -58, -37, -105, -108, -109, -101, -101, -71
-209, -81, -67, -103, -114, -95, -89, -108, -101
-102, -80, -108, -110, -93, -95, -94, -95, -101
-162, -107, -61, -116, -112, -110, -107, -111, -82
-150, -84, -133, -95, -87, -112, -78, -106, -84
-114, -178, -97, -80, -93, -84, -82, -68, -89
-131, -163, -158, -71, -100, -87, -77, -89, -72
-127, -137, -88, -125, -80, -88, -68, -63, -82
-116, -132, -119, -92, -86, -82, -57, -68, -95
-157, -127, -130, -98, -80, -87, -86, -85, -54
-162, -95, -151, -82, -61, -137, -70, -71, -62
-156, -124, -73, -87, -72, -100, -51, -78, -61
-94, -155, -113, -76, -76, -92, -48, -46, -37
-137, -170, -112, -85, -67, -80, -57, -58, -63
-90, -100, -144, -59, -65, -104, 257, 248, -61
-108, -82, -148, -46, -65, -90, -36, -48, -52
-115, -135, -101, -55, -39, -83, -32, -48, -47
-94, -141, -151, -57, -47, -64, -24, -56, -35
-86, -144, -132, -31, -50, -74, -57, -60, -44
-116, -114, -112, -55, -55, -85, -54, -48, -40
