859, 859, 773, 881, 835, 795, 832, 798, 752
292, 302, 250, 306, 290, 258, 297, 298, 269
330, 298, 249, 338, 276, 229, 301, 306, 253
347, 322, 255, 380, 274, 238, 316, 235, 199
421, 310, 242, 405, 295, 206, 386, 282, 190
476, 334, 253, 477, 293, 230, 428, 299, 237
448, 313, 252, 486, 311, 228, 450, 305, 248
451, 313, 250, 463, 329, 226, 457, 292, 222
424, 307, 237, 477, 306, 211, 419, 332, 194
426, 291, 204, 493, 332, 215, 432, 291, 216
381, 256, 232, 449, 318, 208, 385, 313, 221
389, 299, 216, 293, 333, 171, 353, 279, 184
329, 264, 228, 365, 304, 173, 345, 282, 201
297, 298, 205, 288, 262, 204, 249, 271, 220
277, 278, 192, 264, 268, 204, 244, 277, 174
175, 250, 177, 139, 189, 178, 262, 256, 120
213, 190, 168, 187, 226, 188, 140, 238, 99
76, 154, 184, 126, 204, 160, 229, 234, 153
114, 172, 157, 141, 160, 182, 132, 188, 141
34, 158, 167, -46, 170, 176, 3, 128, 122
55, 192, 144, 1, 158, 175, -43, 149, 124
-27, 104, 137, -10, 191, 123, 66, 140, 137
55, 89, 81, -14, 121, 144, 76, 90, 119
63, 33, 119, -163, 61, 162, 15, 130, 138
-40, 49, 56, -98, 71, 105, 68, 52, 112
-65, 66, 50, -125, 31, 110, -67, 44, 77
-65, 36, 37, -185, -19, 108, -171, 91, 79
-85, -57, 68, -170, 1, 103, -186, -13, 90
-209, -36, 70, -124, -41, 47, -185, -72, 84
-122, -63, 19, -146, -34, 13, -186, -52, 52
-123, -22, 38, -249, -77, 59, -146, -110, 59
-62, -51, 51, -212, -27, 57, -150, -36, 13
-207, -37, -36, -240, -90, 10, -244, -50, 2
-270, -101, -23, -203, -86, -6, -164, -85, -6
-215, -110, -58, -232, -112, 3, -176, -90, 7
-233, -116, -28, -209, -90, -2, -215, -104, 8
-178, -114, -20, -92, -95, -31, -178, -100, -12
-289, -86, -20, -167, -134, -11, -259, -100, 29
-275, -100, -39, -189, -158, -43, -180, -169, -8
-279, -154, -42, -141, -172, -60, -169, -124, -34
-234, -199, -53, -209, -181, -47, -199, -91, -87
-229, -169, -51, -173, -118, -46, -135, -140, -13
-226, -161, -75, -226, -146, -70, -195, -119, -50
-228, -178, -68, -233, -174, -59, -149, -114, -32
-227, -140, -80, -165, -183, -70, -195, -129, -80
-256, -156, -77, -243, -138, -58, -147, -160, -93
-152, -178, -75, -146, -152, -71, -146, -152, -70
-182, -118, -64, -199, -178, -72, -102, -141, -95
-151, -157, -88, -136, -159, -92, -75, -138, -70
-159, -161, -112, -119, -148, -80, -115, -132, -70
-92, -125, -46, -164, -150, -116, -126, -124, -76
-159, -152, -68, -144, -125, -106, -129, -143, -92
-129, -131, -99, -115, -121, -116, -105, -94, -88
-128, -122, -104, -83, -132, -48, -163, -132, -95
-120, -135, -88, -126, -92, -86, -93, -120, -95
-114, -172, -122, -137, -112, -143, -92, -128, -68
-86, -154, -97, -83, -127, -103, -141, -126, -76
-94, -122, -86, -90, -125, -78, -148, -106, -97
-82, -94, -101, -116, -87, -92, -84, -99, -106
-91, -137, -104, -92, -118, -119, -101, -148, -69
-122, -167, -119, -106, -123, -96, -126, -126, -62
-96, -101, -96, -104, -99, -105, -139, -152, -83
-176, -114, -83, -106, -89, -107, -110, -117, -111
-109, -83, -100, -111, -100, -91, -109, -115, -124
-88, -106, -112, -91, -116, -93, -93, -176, -88
-88, -122, -89, -78, -98, -93, -92, -135, -104
-84, -79, -72, -50, -76, -106, -134, -112, -103
-34, -123, -96, -60, -76, -109, -84, -139, -81
-64, -86, -84, -64, -116, -70, -91, -106, -67
-53, -101, -76, -58, -109, -75, -88, -128, -94
-38, -79, -102, -85, -123, -120, -107, -120, -85
-82, -78, -81, -42, -91, -93, -88, -79, -93
-76, -111, -79, -61, -82, -68, -128, -86, -116
-24, -72, -76, -60, -75, -114, -105, -121, -74
-15, -80, -72, -44, -95, -103, -61, -105, -104
-47, -67, -90, -38, -132, -90, -75, -96, -87
-46, -84, -89, -52, -93, -109, -45, -89, -103
-11, -86, -96, -46, -78, -74, -63, -100, -90
-52, -78, -77, -34, -95, -101, -44, -65, -78
-53, -95, -67, -30, -59, -104, -62, -64, -97
-70, -96, -62, -50, -69, -60, -94, -98, -94
-50, -53, -107, -10, -51, -64, -43, -88, -99
-16, -100, -90, -20, -78, -104, -44, -90, -96
-52, -74, -72, -21, -60, -84, -84, -91, -77
-82, -72, -73, -13, -74, -70, -63, -110, -105
-64, -41, -111, -36, -70, -62, -45, -68, -76
-44, -57, -90, -32, -53, -101, -38, -70, -73
-32, -41, -54, -25, -67, -65, -53, -73, -54
-30, -82, -59, -39, -53, -95, -37, -72, -93
-51, -58, -65, -28, -44, -89, -18, -73, -71
-14, -53, -64, -6, -38, -85, -56, -83, -83
-25, -59, -71, -33, -48, -65, -26, -53, -73
-27, -52, -59, -39, -64, -70, -29, -72, -68
-45, -49, -65, -58, -73, -82, -29, -78, -72
-44, -43, -49, -32, -53, -54, -21, -54, -57
-34, -55, -65, -39, -61, -47, -26, -46, -68
-23, -43, -65, -20, -63, -38, -26, -52, -66
-28, -41, -70, -26, -47, -59, -11, -52, -60
-47, -50, -73, -40, -33, -60, 2, -52, -69
-43, -42, -50, -26, -19, -75, -5, -53, -66
-37, -36, -62, -44, -47, -47, -37, -56, -82
0, -48, -62, -28, -70, -60, -29, -41, -52
-6, -23, -49, -27, -36, -38, -5, -35, -53
-40, -46, -32, -33, -44, -38, -16, -35, -67
-19, -44, -31, -18, -35, -64, -17, -42, -67
-12, -24, -43, -27, -33, -59, -30, -54, -50
-4, -31, -52, -29, -38, -64, -36, -36, -50
-20, -25, -46, -4, -42, -38, -4, -40, -71
-26, -4, -50, -18, -24, -43, -33, -25, -55
-35, -29, -37, -26, -31, -52, -16, -32, -53
-31, -26, -34, -25, -42, -43, -21, -31, -64
-32, -25, -16, -17, -19, -32, -8, -43, -56
-29, -46, -41, -64, -19, -50, -37, -46, -56
-29, -32, -30, -42, -38, -45, -19, -23, -57
-14, -9, -39, -38, -25, -50, -36, -18, -44
-20, -19, -52, -15, -37, -34, -24, -38, -32
-34, -20, -40, -57, -20, -46, -40, -9, -30
-21, -30, -44, -30, -28, -40, -27, -15, -46
-23, -35, -15, -26, -34, -32, -37, -19, -31
-24, -29, -27, -13, -36, -38, -11, -24, -35
-25, -12, -32, -16, -28, -34, -2, -29, -42
3, -26, -19, -30, -22, -29, -26, -24, -44
8, -17, -30, -12, -31, -36, -23, -34, -53
12, -20, -36, 1, -18, -30, -11, -24, -46
15, -9, -34, -26, -33, -31, -12, -32, -36
-3, -12, -29, -20, -14, -38, -12, -13, -33
0, -11, -17, -5, -32, -30, -12, -10, -45
-4, -3, -26, 1, -14, -39, 6, -12, -36
-12, -19, -43, 6, -12, -31, -22, -2, -39
5, -31, -46, -16, -8, -19, 5, -24, -20
-20, -20, -36, -15, -11, -21, -7, -19, -27
-11, -9, -29, -31, -3, -12, 1, -19, -39
-24, 2, -22, -24, -16, -33, -12, -5, -26
-2, 0, -28, -8, -20, -19, -26, -26, -46
-28, -18, -20, 6, -10, -26, 0, -13, -31
-12, -15, -18, -4, -8, -25, -7, -3, -26
-26, -20, -33, -16, -15, -34, -16, -9, -33
-10, -20, -31, -3, 0, -18, -12, -17, -30
-15, -22, -37, 0, -14, -19, -11, -23, -27
-6, -5, -23, 5, -22, -12, -15, -15, -34
-21, -6, -27, -2, -5, -31, 7, -16, -34
-24, -14, -12, -19, -10, -35, 9, -7, -18
-13, -15, -18, -14, -7, -30, -1, -12, -32
6, -22, -24, -15, -15, -17, -19, -2, -10
-30, -12, -18, -8, -7, -14, -17, -25, -26
4, -10, -24, -18, -12, -26, -1, -1, -29
-8, -9, -15, -14, -16, -18, -26, -7, -31
